simucont_id_all, naive_alloc_Mha, min_alloc_Mha, opt_alloc_Mha, max_possible_alloc_Mha
   55723003,                    0.46400929,                    0.51911137,                    0.51911137,                    2.35734147
   55723004,                    0.87002915,                    0.97334695,                    0.97334695,                    4.63650698
   55724001,                    2.14655017,                    0.57221181,                    0.57221181,                    1.70498977
   55724002,                    2.14655017,                    2.69270200,                    2.69270200,                    8.19997300
   55724003,                    1.04872758,                    1.17326619,                    1.17326619,                    5.40245790
   55724004,                    1.62219478,                    0.96698382,                    2.05048727,                    2.05048726
   55725001,                    1.60152361,                    0.42842602,                    1.26735896,                    1.26735896
   55728001,                    0.08695575,                    0.03058664,                    0.03058664,                    0.03058664
   55730001,                    3.93854058,                    3.75326836,                    6.97905459,                    6.97905459
   55737001,                    6.45813583,                    6.52425753,                    7.37875296,                    7.37875296
   55737002,                  148.86181236,                  132.54314931,                  132.54521968,                  132.54521968
   55738001,                    6.70942072,                    6.70757229,                    7.45328995,                    7.45328994
   55738002,                    7.53197904,                    7.26961838,                    7.26961838,                    7.26961839
   55738003,                   14.43147262,                   14.35649915,                   14.74665240,                   14.74665241
   55738004,                   28.82806932,                   28.94238201,                   29.39918348,                   29.39918347
   55739001,                   12.15784786,                    2.66965499,                    2.66976107,                    2.66976106
   55757001,                    1.55271262,                    2.03134650,                    2.03134650,                   21.04283343
   55758001,                    0.01914433,                    0.00642117,                    0.00642117,                    0.05375408
   55759001,                    1.30376197,                    1.84251897,                    1.84251897,                    7.95989991
   55760003,                    0.98818383,                    0.16861260,                    0.16861260,                    1.05273500
   55760004,                    1.66545847,                    1.86323517,                    1.86323517,                    4.26332944
   55763001,                    5.46656128,                    5.44804920,                    5.44804920,                    7.40966507
   55767001,                   23.12319994,                   22.30691744,                   22.30691744,                   22.30691744
   55767002,                    8.87776442,                    7.22018246,                    7.22018246,                    7.22018247
   55768001,                  136.52018409,                  118.39771661,                  118.39771661,                  118.39771661
   55769001,                    7.29149453,                    7.33645644,                    7.35640628,                    7.35640628
   55769002,                   45.28343076,                   45.12834073,                   51.36558688,                   51.36558689
   55770001,                   10.20211634,                   10.15818872,                   10.15818872,                   14.89000000
   55771001,                    2.59439876,                    2.64408023,                    7.29160320,                    7.41000000
   55772001,                   24.52823406,                   24.27433384,                   36.85991154,                   36.85991154
   55772002,                   26.15156735,                   27.10966831,                   27.74892723,                   36.86008846
   55773001,                    4.93339289,                    4.86184307,                    7.11370434,                    7.33000000
   55792001,                    1.37792215,                    0.44133522,                    0.44133522,                    1.70800000
   55793001,                    1.38062619,                    0.61038064,                    0.61038064,                    1.70680819
   55793002,                    1.38062619,                    0.61038064,                    0.61038064,                    1.70680819
   55793003,                    1.88344604,                    0.83102245,                    0.83102245,                    2.32785356
   55794001,                    1.38060962,                    1.99098294,                    1.99098294,                    7.68894776
   55794002,                    0.81214243,                    1.17119401,                    1.17119401,                    5.00543402
   55794003,                    1.38060962,                    1.99098294,                    1.99098294,                    8.52995906
   55794004,                    1.21369693,                    1.75027745,                    1.75027745,                    7.49870562
   55794005,                    1.38060962,                    1.99098294,                    1.99098294,                    8.52995906
   55795001,                    5.70382526,                    3.42812567,                    3.42812567,                    3.42812567
   55796001,                    8.61061386,                    7.68678810,                    7.68678810,                    7.68678810
   55796002,                   10.81586816,                    5.47960098,                    5.47960098,                    5.47960098
   55797001,                   16.68214511,                   17.17660341,                   18.13256816,                   18.13256817
   55798001,                   17.21555277,                   14.84735866,                   14.85298155,                   14.85298156
   55799001,                    4.65386050,                    1.07473931,                    1.09715626,                    1.09715626
   55799002,                   27.65420417,                   28.89451629,                   36.89176043,                   36.89176043
   55799003,                   19.78435189,                    6.87664072,                    6.89064931,                    6.89064930
   55800001,                   14.08714698,                    0.00000000,                    0.00000000,                    0.00000000
   55800002,                    5.23169877,                    5.48169154,                    7.37160032,                    7.37160032
   55800003,                   15.12681716,                   18.26078380,                   18.47500525,                   18.47500526
   55800004,                   23.98897691,                   23.91922740,                   23.94380215,                   23.94380216
   55801001,                    4.70243676,                    5.06167629,                    7.33000000,                    7.33000000
   55802001,                    5.06720110,                    5.31205366,                    7.19837346,                    7.19837346
   55802002,                   15.20256615,                   15.94296323,                   21.88502189,                   21.88502189
   55812001,                    0.00000000,                    0.00000000,                    0.00000000,                    0.00087777
   55812002,                    0.00052443,                    0.00052443,                    0.00052443,                    0.31538675
   55812003,                    0.00149876,                    0.00149876,                    0.00149876,                    1.07736566
   55815001,                    0.00270416,                    0.00270416,                    0.00980398,                    0.00980398
   55816001,                    0.00051257,                    0.00051257,                    0.00051257,                    0.00767240
   55816003,                    0.00006121,                    0.00006121,                    0.00006121,                    0.00091623
   55816004,                    0.00280928,                    0.00280928,                    0.00280928,                    0.01611044
   55817002,                    0.00181310,                    0.00181310,                    0.00181310,                    0.02001322
   55820001,                    0.35253341,                    0.35253341,                    0.35253341,                    1.71000000
   55821001,                    0.08155142,                    0.01925801,                    0.01925801,                    0.09489481
   55822001,                    1.46653136,                    1.75811872,                    1.75811872,                    8.53402048
   55822002,                    1.45303586,                    1.79334261,                    1.79334261,                    8.03763272
   55822003,                    1.46781636,                    1.75473081,                    1.75473081,                    8.53391807
   55822004,                    1.46783397,                    1.75475186,                    1.75475186,                    4.92910747
   55822005,                    0.56903787,                    0.13437579,                    0.13437579,                    0.66167985
   55823001,                    2.68486091,                    3.20967138,                    3.20967138,                   15.60205740
   55823002,                    0.07352893,                    0.10480832,                    0.10480832,                    0.45251733
   55824001,                    5.50755938,                    5.50567973,                    5.50567973,                    7.65653745
   55825001,                    7.65074804,                    6.47838171,                    6.47838171,                    6.47838172
   55826001,                    3.84996490,                    3.85508693,                    3.85508693,                    7.02615639
   55827001,                    9.26235027,                    4.88505675,                    4.88505675,                    4.88505675
   55827002,                    4.69631123,                    1.63422093,                    1.63422093,                    1.63422093
   55827003,                    4.68902603,                    0.05765297,                    0.05785431,                    0.05785431
   55827004,                    4.64465236,                    6.46226590,                    6.46226590,                    6.46226590
